Species,Common_name
Ameivula pyrrhogularis,
Ameivula xacriaba,
Amerotyphlops amoipira,
Amerotyphlops arenensis,
Amerotyphlops brongersmianus,Brongersma's Worm Snake
Amerotyphlops costaricensis,Costa Rica Worm Snake
Amerotyphlops lehneri,Estado Falcón Worm Snake
Amerotyphlops microstomus,Yucatecan Worm Snake
Amerotyphlops minuisquamus,Basin Worm Snake
Amerotyphlops paucisquamus,Pernambuco Worm Snake
Amerotyphlops reticulatus,Reticulate Worm Snake
Amerotyphlops stadelmani,Stadelman's Wurm Snake
Amerotyphlops tasymicris,Grenada Worm Snake
Amerotyphlops tenuis,Coffee Worm Snake
Amerotyphlops trinitatus,Trinidad Worm Snake
Amerotyphlops tycherus,
Amerotyphlops yonenagae,Yonenga Worm Snake
Amnesteophis melanauchen,
Amphibolurus burnsi,
Amphibolurus centralis,Centralian Lashtail
Amphibolurus muricatus,"Jacky Lashtail, Jacky Lizard, Jacky Dragon"
Amphibolurus norrisi,Mallee Heath Lashtail
Amphiesma stolatum,"E: Buff Striped Keelback
G: Gelbhalswassernatter, Gestreifte Wassernatter, Asiatische Streifennatter, Gelbband-Wassernatter"
Amphiesmoides ornaticeps,"Werner's Ornate Snake
Vietnamese name: Ran hoa wen-no"
Amphiglossus astrolabi,Diving Skink
Amphiglossus reticulatus,
Amphisbaena absaberi,
Amphisbaena acrobeles,
Amphisbaena alba,"E: Red Worm Lizard
NL: Witte wormhagedis"
Amphisbaena albocingulata,
Amphisbaena anaemariae,
Amphisbaena angustifrons,South American Worm Lizard
Amphisbaena anomala,Barbour's Worm Lizard
Amphisbaena arda,
Amphisbaena arenaria,
Amphisbaena bahiana,
Amphisbaena bakeri,Baker's Worm Lizard
Amphisbaena barbouri,Cuban Many-ringed Amphisbaena
Amphisbaena bedai,
Amphisbaena bilabialata,
Amphisbaena bolivica,
Amphisbaena borelli,
Amphisbaena brasiliana,Brazilian Worm Lizard
Amphisbaena brevis,
Amphisbaena caeca,Blind Worm Lizard
Amphisbaena caiari,
Amphisbaena camura,Crooked Worm Lizard
Amphisbaena carlgansi,Cuban Pink Amphisbaena
Amphisbaena carli,
Amphisbaena carvalhoi,Carvalho Worm Lizard
Amphisbaena caudalis,Cayemite Long-tailed Amphisbaena
Amphisbaena cayemite,Cayemite Short-tailed Amphisbaena
Amphisbaena cegei,
Amphisbaena crisae,
Amphisbaena cubana,Cuban Worm Lizard
Amphisbaena cuiabana,
Amphisbaena cunhai,
Amphisbaena darwinii,Darwin's Ringed Worm Lizard
Amphisbaena dubia,Uncertain Worm Lizard
Amphisbaena fenestrata,Cope's Worm Lizard
Amphisbaena filiformis,
Amphisbaena frontalis,
Amphisbaena fuliginosa,"E: Speckled Worm Lizard
D: Gefleckte Doppelschleiche
NL: Gevlekte wormhagedis
E: Mottled Amphisbaena [bassleri]"
Amphisbaena gonavensis,Gonave Worm Lizard
Amphisbaena gracilis,Slender Worm Lizard
Amphisbaena hastata,
Amphisbaena heathi,Heath's  Worm Lizard
Amphisbaena heterozonata,
Amphisbaena hiata,
Amphisbaena hogei,Hoge's Worm Lizard
Amphisbaena hyporissor,Barahona Amphisbaena
Amphisbaena ibijara,
Amphisbaena ignatiana,
Amphisbaena innocens,Innocent Worm Lizard
Amphisbaena kingii,King's Worm Lizard
Amphisbaena kraoh,
Amphisbaena leali,Pestel Amphisbaena
Amphisbaena leeseri,Urucum Worm Lizard
